title,genres,keywords,cast,director,popularity
The Hundred-Foot Journey,drama,"france, based novel, indian lead, restaurant, family","helen mirren, manish dayal, om puri, charlotte le bon, rohan chand, juhi chawla, farzana dua elahe, dillon mitra, jean kinsell, amit shah, aria pandya, michel blanc, clément sibony, vincent elbaz, alban aumard, shuna lemoine, antoine blanquefort, malcolm granath, abhijit buddhisagar, masood akhtar, arthur mazet, laetitia de fombelle, cédric weber, piero filippi, robert gailhard, matyelok gibbs, paul daubeze, didier joy, max rangotte, saachi parekh, shaunak parekh, stéphanie renouvin, audrey meschi, christian allieres, patrick blatger, frederic violante, chantal filippi, sanjay sharma, morgan perez",lasse hallström,27.898438
The Net,"crime, drama, mystery, thriller, action","cheating, new identity, computer virus, chase, computer, stalking","sandra bullock, jeremy northam, dennis miller, wendy gazelle, ken howard, diane baker, ray mckinnon, daniel schorr, l. scott caldwell, robert gossett, kristina krofft, tony perez, gene kirkwood, christopher darga, charles winkler, julia pearlstein, rick snyder, gerald berns, tannis benedict, vaughn armstrong, wren t. brown, lynn blades, israel juarbe, julia vera, lewis dix jr., lili flanders, adam winkler, brian e. frankish, wanda-lee evans, david winkler, andrew amador, juan garcía",irwin winkler,23.218144
I Am Sam,drama,"foster parents, pro bono, new baby, social services, learning, coffee shop manager, pizza hut, children's book, locked door, mentally handicapped man, child custody, woman director","sean penn, michelle pfeiffer, dianne wiest, dakota fanning, richard schiff, loretta devine, marin hinkle, laura dern, brad silverman, joseph rosenberg, stanley desantis, doug hutchison, bobby cooper, mary steenburgen, eileen ryan, michael b. silver, rosalind chao, ken jenkins, wendy phillips, mason lucero, scott paulin, kit mcdonough, kimberly scott, chase mackenzie bebak, rafer weigel, emiko parise, pamela dunlap, brent spiner, david nathan schwartz, kathleen robertson, karen bankhead, janet adderley, katie mcgloin, steven maines, dennis fanning, david poynter, r. d. call, elle fanning",jessie nelson,26.071644
Son of God,drama,"biography, resurrection","roma downey, diogo morgado, louise delamere, darwin shaw, amber rose revah, andrew brooke, simon kunz, william houston, nonso anozie, stewart scudamore, conan stevens, matthew gravelle, greg hicks, adrian schiller, sebastian knapp, joe wredden, paul marc davis, paul knops, darcie lincoln, david rintoul, gary oliver, jassa ahluwalia, langley kirkwood, patrice naiambana, joe coen, leila mimmack, rick bacon, fraser ayres, said bey, paul brightwell, sana mouziane, anas chenin, daniel percival, noureddine aberdine, idrissa sisco",christopher spencer,9.175762
Underworld,"fantasy, action, thriller","budapest, subway, love one's life, vampire, bite, descendant, hostility, shootout, werewolf, blunt, fang vamp","kate beckinsale, scott speedman, michael sheen, shane brolly, bill nighy, erwin leder, sophia myles, robbie gee, wentworth miller, kevin grevioux, zita görög, scott mcelroy, richard cetrone, mike mukatis, dennis j. kozeluh, todd schneider, sándor bolla, hank amos, zsuzsa barsi, andreas patton, danny mcbride, jázmin dammak, judit kuchta, vanessa nagy, atilla pinke, ildikó kovács, sándor boros, jános oláh, brian steele, kurt carley, rana morrison, zoltan papp",len wiseman,81.829237
Derailed,"drama, thriller","prison, chicago, rape, based novel, hotel room, wife husband relationship, anonymous letter, blackmail, family's daily life, letter, business man, relationship problems, man women, revenge, deception, beating, violence, wallet, extramarital affair, embezzlement, advertising executive, flashback, abortion, commuter train","clive owen, jennifer aniston, vincent cassel, melissa george, addison timlin, xzibit, rza, sandra bee, william armstrong, tom conti, rachael blake, richard leaf, catherine mccord, denis o'hare, georgina chapman, giancarlo esposito, david morrissey, david oyelowo, jennifer joan taylor",mikael håfström,17.7091
The Informant!,"drama, comedy, crime","agriculture, company, witness murder","matt damon, scott bakula, joel mchale, melanie lynskey, ann dowd, thomas f. wilson, tom papa, rick overton, allan havey, patton oswalt, scott adsit, eddie jemison, clancy brown, arden myrin, tony hale, andrew daly, frank welker, candy clark, dick smothers, tom smothers, richard steven horvitz, bob zany, paul f. tompkins, lucas mchugh carroll",steven soderbergh,17.772518
Shadowlands,"drama, romance","bachelor, stroke fate, brother, oxford, author, falling love","anthony hopkins, debra winger, john wood, julian fellowes, roddy maude-roxby, michael denison, tim mcmullan, edward hardwicke, james frain, robert flemyng, roger ashton-griffiths, joseph mazzello, peter firth, pauline melville",richard attenborough,5.609755
Deuce Bigalow: European Gigolo,comedy,"painter, amsterdam, dolphin, europe, pimp, fetish, gigolo, wig, snorkel, whistle","rob schneider, eddie griffin, jeroen krabbé, til schweiger, hanna verboom, oded fehr, carlos ponce, douglas sills, charles keating, alex dimitriades",mike bigelow,10.259461
Delivery Man,comedy,"remake, sperm donor","vince vaughn, cobie smulders, chris pratt, britt robertson, jack reynor, bobby moynihan, andrzej blumenfeld, simon delaney, dave pattenden, adam chanler-berat, amos vanderpoel, matthew daddario",ken scott,30.114383
Our Kind of Traitor,thriller,"based novel, woman director","ewan mcgregor, stellan skarsgård, damian lewis, naomie harris, jeremy northam, khalid abdalla, mark gatiss, saskia reeves, alicia von rittberg, alec utgoff, mark stanley, grigoriy dobrygin, marek oravec, velibor topic, jana perez, carlos acosta, pawel szajda, radivoje bukvić, christian brassington, dolya gavanski",susanna white,10.547959
Saving Silverman,"comedy, crime, romance","female nudity, harassment, male friendship, dark comedy, director cameo, duringcreditsstinger","jason biggs, steve zahn, jack black, amanda peet, amanda detmer, r. lee ermey, neil diamond, kyle gass, christopher logan, stephen chang, colin foo, mark aaron wagner, lowela jotie",dennis dugan,12.887673
Diary of a Wimpy Kid: Dog Days,"comedy, family","best friend, sweet sixteen, duringcreditsstinger","zachary gordon, robert capron, devon bostick, rachael harris, steve zahn, peyton list, laine macneil, melissa roxburgh, connor fielding, owen fielding, karan brar, grayson russell, alf humphreys, bronwen smith, emily holmes, philip maurice hayes, jeff kinney, elise gatien, dalila bela",david bowers,13.410919
Summer of Sam,"thriller, drama, crime, romance","distrust, intolerance, punk rock, italian american, summer, bigotry, bronx","john leguizamo, adrien brody, mira sorvino, jennifer esposito, anthony lapaglia, michael rispoli, saverio guerra, bebe neuwirth, patti lupone, mike starr, roger guenveur smith, ben gazzara, arthur j. nascarella, michael imperioli, john savage, michael badalucco, spike lee, john turturro, al palagonia",spike lee,3.70789
Jay and Silent Bob Strike Back,comedy,"film making, jay silent bob, self mocking, character subject comic, reference prince valiant, indiana jones spoof scene, monkey actor, view askew, gigantic hand, animal experimentation","kevin smith, jason mewes, ben affleck, jeff anderson, brian o'halloran, shannon elizabeth, eliza dushku, ali larter, jennifer schwalbach smith, will ferrell, jason lee, judd nelson, george carlin, carrie fisher, seann william scott, jon stewart, mark hamill, joey lauren adams, tracy morgan, gus van sant, shannen doherty, wes craven, chris rock, joe quesada, matt damon, harley quinn smith, morris day, william b. davis, marc blucas",kevin smith,21.865021
The Glass House,"drama, thriller","california, brother sister relationship, loss parents, suspense, psychological thriller, orphan, car accident","leelee sobieski, diane lane, stellan skarsgård, bruce dern, kathy baker, trevor morgan, chris noth, michael o'keefe, gavin o'connor, vyto ruginis, carly pope, china shavers, agnes bruckner, michael paul chan, rachel wilson, rutanya alda, john billingsley, maia danziger, january jones",daniel sackheim,9.448517
"Hail, Caesar!","comedy, drama, mystery","journalist, cat, ransom, kidnapping, ancient rome, movie movie, hollywood, period drama","josh brolin, george clooney, alden ehrenreich, ralph fiennes, scarlett johansson, tilda swinton, channing tatum, frances mcdormand, jonah hill, veronica osorio, heather goldenhersh, alison pill, max baker, fisher stevens, patrick fischler, tom musgrave, david krumholtz, greg baldwin, patrick carroll, fred melamed, john bluthal, alex karpovsky, armazd stepanian, allan havey, robert pike daniel, robert picardo, ian blackman, geoffrey cantor, christopher lambert, robert trebor, michael yama, ming zhao, helen siff, basil hoffman, luke spencer roberts, ralph p. martin, james austin johnson, noah baron, timm perry, noel conlon, natasha bassett, richard abraham, jon daly, dennis cockrum, clancy brown, mather zickel, tiffany lonsdale, clement von franckenstein, wayne knight, jeff lewis, kyle bornheimer, josh cooke, peter jason, stephen ellis, jillian armenante, jacob witkin, jack huston, agyness deyn, emily beecham, benjamin beatty, j.r. horne, caitlin muelder, e.e. bell, kate morgan chadwick, brian jones, peter banifaz, clifton samuels, k.c. reischerl, jeremy davis, marcos ochoa, colin bradbury, ryan breslin, tyler hanes, casey garvin, luke hawkins, evan kasprzak, patrick lavallee, adam perry, ryan vandenboom, alex demkin, dax hock, shesha marvin, mark stuart, forrest walsh, michael gambon, tomoko karina, dolph lundgren","joel coen, ethan coen",39.006187
Josie and the Pussycats,"comedy, music","manager, pop, secret, small town, garage, musician, music, friendship, industry, fame, conspiracy, subliminal , rock band, culture, woman director, messages, fortune, record deal, popular, pawns","rachael leigh cook, rosario dawson, tara reid, gabriel mann, alan cumming, missi pyle, parker posey, donald faison, seth green, breckin meyer, paulo costanzo","deborah kaplan, harry elfont",6.404571
Homefront,"action, thriller","based novel, drug dealer, ex-cop, rural setting, undercover cop, methamphetamine, motorcycle gang, drug, revenge motive, father daughter relationship, lousiana bayou","jason statham, james franco, izabela vidovic, winona ryder, rachelle lefevre, kate bosworth, clancy brown, frank grillo, christa campbell, omar benson miller, nicole andrews, celeste star, stephanie grote, amin joseph, joe chrest, joshua brady",gary fleder,35.737655
The Little Vampire,"family, horror","based novel, vampire, bite, independent film, fang vamp","richard e. grant, jonathan lipnicki, jim carter, alice krige, pamela gidley, tommy hinkley, anna popplewell, dean cook, iain de caestecker",uli edel,4.365196
I Heart Huckabees,"comedy, romance","sex, detective, jealousy, humor, protest, wife, celebrity, rivalry, independent film, religion, universe, anger, nature, husband, existentialism, enviroment, issues","jason schwartzman, dustin hoffman, lily tomlin, jude law, mark wahlberg, naomi watts, isabelle huppert, darlene hunt, kevin dunn, jean smart, sydney zarp, jonah hill, talia shire, tippi hedren, isla fisher, bob gunton, saïd taghmaoui",david o. russell,14.925633
RoboCop 3,"action, adventure, crime, science fiction, thriller","cyborg, dystopia, police, sequel, cyberpunk, policeman, robocop","robert john burke, nancy allen, mario machado, jodi long, john posey, mako, rip torn, bruce locke, john castle, edith ivey, remy ryan, bradley whitford, s.d. nemeth, stephen root, cch pounder, robert doqui, jeff garlin, james lorinz, jill hennessy, curtis taylor, felton perry, shane black",fred dekker,14.725467
Megiddo: The Omega Code 2,"action, science fiction, thriller",dystopia,"michael york, michael biehn, diane venora, r. lee ermey, udo kier, franco nero, chad michael murray, guy siner, michael chinyamurindi, john demita, oleg shtefanko","brian trenchard-smith, paul j. lombardi",0.809588
Darling Lili,"drama, comedy, thriller, music, romance","spy, uncle","julie andrews, rock hudson, jeremy kemp, lance percival, michael witney, gloria paul, jacques marin",blake edwards,0.816883
Dudley Do-Right,"comedy, family, romance","based cartoon, mountie","brendan fraser, sarah jessica parker, alfred molina, eric idle, robert prosky, jack kehler, alex rocco, louis mustillo, don yesso, jed rees, brant von hoffman, corey burton, dyllan christopher, ashley yarman, jeremy bergman, douglas newell, haig sutherland, michael mccarty, rondel reynoldson, rick poltaruk, kevin blatch, regis philbin, kathie lee gifford, ernie grunwald, jennifer clement, brian arnold, paul barsanti, eddie moore, eric breker, jennifer rockett, robert saunders, c. ernst harth, gerard plunkett, michal suchánek, brent butt, john destry, david fredericks, william macdonald, oscar goncalves, jessica schreier, kevin mundy, justen harcourt, nathan bennett, isis johnson, art irizawa, bryan anthony, adrian armas, jennifer armstrong, scott augustine, linda bernath, jeffrey broadhurst, dominic carbone, kelsey chace, michael chambers, anne fletcher, scott fowler, amber funk, bob gaynor, leigh hilary, sarah hofmann, erik hyler, russ jones, eleu kruse, lance macdonald, jocelyn peden, cindi poe, lisa ratzin, artine brown, erick kaffka, robin mossley, gerald scarr, tony willett, nicole robert",hugh wilson,8.792054
The Transporter Refueled,"thriller, action, crime","transporter, sequel, suspense, car, bank heist, action","ed skrein, ray stevenson, loan chabanol, gabriella wright, tatjana pajković, wenxia yu, radivoje bukvić, noémie lenoir, yuri kolokolnikov, lenn kudrjawizki, samir guesmi, anatole taubman, robbie nock, michael morris, nash novcic, jochen hägele, cédric chevalme, jérôme zybala, stéphane moreno carpio, laurent ferraro, jean-baptiste puech, reginal kudiwu, jua amir, thibault evrard, christophe lavalle, mickaël collart, christophe touraud",camille delamarre,25.002715
The Libertine,"drama, romance","london england, sex, dying death, poet, theatre milieu, monolog, monkey, alcoholic","johnny depp, samantha morton, john malkovich, rosamund pike, paul ritter, stanley townsend, francesca annis, tom hollander, johnny vegas, richard coyle, tom burke, hugh sachs, rupert friend, kelly reilly, jack davenport, trudi jackson, cara horgan",laurence dunmore,7.588597
Black Book,"drama, thriller, war","love enemy, netherlands, world war ii, prosecution","carice van houten, sebastian koch, thom hoffman, halina reijn, waldemar kobus, matthias schoenaerts, theo maassen, derek de lint, christian berkel, dolf de vries, peter blok, michiel huisman, ronald armbrust, frank lammers, johnny de mol, xander straat, diana dobbelman, timothy deenihan",paul verhoeven,13.906611
Joyeux Noël,"romance, drama, history, war, music","holiday, world war i, hostility, singer, singing, christmas","diane kruger, natalie dessay, benno fürmann, guillaume canet, gary lewis, dany boon, daniel brühl, lucas belvaux, alex ferns, frank witter, bernard le coq, ian richardson, thomas schmauser, rolando villazón, steven robertson",christian carion,13.960945
Hit & Run,"action, comedy, romance","witness protection, getaway driver, duringcreditsstinger","kristen bell, dax shepard, tom arnold, kristin chenoweth, michael rosenbaum, jess rowland, carly hatter, bradley cooper, joy bryant, kal bennett, john duff, david koechner, ryan hansen, beau bridges, jason bateman, sean hayes, nate tuck, steve agee","dax shepard, david palmer",16.668854
Mad Money,"action, comedy, crime","gang, hoodlum, woman director","diane keaton, queen latifah, katie holmes, ted danson, roger cross, stephen root, j.c. mackenzie, christopher mcdonald, finesse mitchell",callie khouri,6.847133
Before I Go to Sleep,"mystery, thriller","amnesia, therapist, aggression, hospital, flashback","nicole kidman, colin firth, mark strong, anne-marie duff, jing lusi, dean-charles chapman, adam levy, ben crompton, flynn macarthur, gabriel strong",rowan joffe,48.784734
Sorcerer,"action, thriller, adventure","dynamite, car journey, nicaragua, criminal, bandit, explosives, latin america, rope bridge, transport, nitroglycerin, oil company, existentialism, dangerous mission","roy scheider, bruno cremer, francisco rabal, amidou, ramon bieri, peter capell, karl john, friedrich von ledebur, chico martínez, joe spinell, rosario almontes, richard holley, anne-marie deschott, jean-luc bideau",william friedkin,9.088209
Stone,drama,"prison, fire, manipulation, seduction, vegetarian, playground, deception, arson, parole, arsonist, convict, house","frances conroy, robert de niro, edward norton, milla jovovich, enver gjokaj, pepper binkley, sandra love aldridge, greg trzaskoma, rachel loiselle, peter lewis, sarab kamoo",john curran,12.445176
Moliere,"romance, drama, comedy",playwright,"romain duris, fabrice luchini, edouard baer, ludivine sagnier, laura morante, fanny valette, gonzague montuel, gilian petrovski, sophie-charlotte husson, anne suarez, annelise hesme",laurent tirard,4.61335
Out of the Furnace,"thriller, drama, crime","prison, brother brother relationship, drug dealer, brother, revenge, drug use, car accident, justice, family, bare knuckle fighting, rust belt, neo-noir, manslaughter, social decay, ptsd","christian bale, zoe saldana, woody harrelson, sam shepard, willem dafoe, forest whitaker, casey affleck, boyd holbrook, tom bower, gordon michaels, jack erdie, efka kvaraciejus, charles david richards, bingo o'malley, dendrie taylor, nancy mosser, carl ciarfalio, bobby wolfe, corey rieger, jason greear, tommy lafitte, georin aquila, matt baker, todd bobenrieth, ryan c. bogdewic, zachary bolen, lonell r. childred, carl clemons, julian curi, dicky eklund jr., joe fishel, vito grassi, john w. iwanonkiw, william kania, mark kubr, efka kvaraciejus, tiffany sander mckenzie, phil nardozzi, james quinn, brenna roth, aaron toney",scott cooper,29.230298
Michael Clayton,"drama, mystery, crime","killing, restaurant, chambers barrister, scandal, pretended suicide, lawsuit, car bomb, business ethics, crooked lawyer","george clooney, tom wilkinson, tilda swinton, sydney pollack, michael o'keefe, robert prescott, denis o'hare, julie white, austin williams, jennifer van dyck, frank wood, amy hargreaves, rachel black, merritt wever, susan pellegrino, katherine waterston, heidi armbruster, pamela gray",tony gilroy,18.961323
My Fellow Americans,"comedy, drama","white house, usa president, national security agency (nsa), danger, sable, writ","jack lemmon, james garner, dan aykroyd, john heard, wilford brimley, lauren bacall, sela ward, bradley whitford, everett mcgill, james rebhorn, esther rolle, jack kehler, connie ray, tom everett, wayne duvall, michael peña, john o'leary",peter segal,2.809378
Arlington Road,"drama, thriller, mystery","bomb, terrorist, fbi, professor, paranoia, college, wife, politics, army, murder, suspense, neighbor, agent, blueprint, classified, neo-noir","jeff bridges, tim robbins, joan cusack, hope davis, robert gossett, mason gamble, spencer treat clark, stanley anderson, viviane vives, lee stringer, darryl cox, loyd catlett, sid hillman, auden thornton, mary ashleigh green, john hussey",mark pellington,12.819447
Underdogs,"animation, adventure, romance",soccer,"juan josé campanella, diego ramos, pablo rago, axel kuschevatzky, david masajnik, mariana otero, diego mesaglío, lucía maciel, marcos mundstock, ernesto claudio, miguel ángel rodríguez, coco sily, fabián gianola, sebastián mogordoy, gabriel almirón",juan josé campanella,14.866351
To Rome with Love,"romance, comedy","rome, expatriate, episodic","ellen page, woody allen, jesse eisenberg, penélope cruz, alec baldwin, roberto benigni, alison pill, alessandra mastronardi, riccardo scamarcio, judy davis, ornella muti, greta gerwig, flavio parenti, alessandro tiberi, carol alt, david pasquesi, lynn swanson",woody allen,15.013386
Firefox,"science fiction, action, adventure, thriller","flying, pilot, kampfjet, false identity, assault, suspense","clint eastwood, freddie jones, david huffman, warren clarke, ronald lacey, kenneth colley, klaus löwitsch, nigel hawthorne, stefan schnabel, thomas hill, clive merrison, kai wulff, dimitra arliss, austin willis, michael currie, james staley, ward costello, alan tilvern, oliver cotton, bernard behrens, richard derr, woody eney, bernard erhard, hugh fraser, david gant, john grillo, czeslaw grocholski, neil hunt, vincent j. isaac, alexei jawdokimov, wolf kahler, eugene lipinski, curt lowens, lev mailer, fritz manes, david meyers, alfredo michelson, zeno nahayevsky, george orrison, tony papenfuss, olivier pierre, grisha plotkin, george pravda, john ratzenberger, alex rodine, lance rosen, gene scherer, warwick sims, malcolm storry, chris winfield, john yates, alexander zale, rudolf waldemar brem, larry guardino",clint eastwood,8.700565
"South Park: Bigger, Longer & Uncut","animation, comedy, music","gay, mount rushmore national memorial, swear word, mephisto, hell, world supremacy, elementary school, saddam hussein, blood splatter, atheist, sequel, surrealism, friends hate other, satan, based tv series, cartoon sex, child swearing, visions hell, u.s. canada war, shot death, adult animation, south park colorado","trey parker, matt stone, mary kay bergman, isaac hayes, george clooney, minnie driver, brent spiner, jesse brant howell, anthony cross-thomas, franchesca clifford, anthony cross-thomas, bruce howell, deb adair, jennifer howell, eric idle, dave foley, nick rhodes, mike judge, toddy walters",trey parker,27.197799
Death at a Funeral,"comedy, drama","brother brother relationship, farewell, father son relationship, age difference, parents kids relationship, secret, sadness, coffin, funeral, gathering, surprise, lsd, studies, hallucinogen, drug trip, arrogance, female corpse","matthew macfadyen, keeley hawes, andy nyman, ewen bremner, daisy donovan, alan tudyk, jane asher, kris marshall, rupert graves, peter vaughan, thomas wheatley, peter egan, peter dinklage, angela curran",frank oz,20.410354
Teenage Mutant Ninja Turtles III,"action, adventure, comedy, family, fantasy, science fiction","japan, time travel, ninja","paige turco, stuart wilson, sab shimono, vivian wu, mark caso, corey feldman, matt hill, jim raposa, david fraser, elias koteas, james murray, eidan hanzei, john aylward, mak takano, steve akahoshi, travis a. moon, robbie rist, brian tochi, tim kelleher, kent kim, ken kensei, tad horino, glen chin, koichi sakamoto, tracy conklin, edmund stone, jeff kawasugi, phil chong, yeon kim",stuart gillard,10.207065
Hardball,"comedy, romance",gay,"keanu reeves, diane lane, michael b. jordan, d. b. sweeney, john hawkes, bryan hearne, julian griffith, dewayne warren, kristopher lofton, mark robert ellis, graham beckel, michael mcglone, dawn lewis, mark margolis, greg sandquist, jacqueline williams, michael b. chait, stephen cinabro, tom milanovich, kwame amoaku, vince green",brian robbins,5.683281
Silver Linings Playbook,"drama, comedy, romance","dancing, philadelphia, running, based novel, depression, letter, friendship, neighbor, mental illness, ex-wife, institutionalization, bipolar, philadelphia eagles","bradley cooper, jennifer lawrence, robert de niro, jacki weaver, chris tucker, anupam kher, john ortiz, shea whigham, julia stiles, dash mihok, bonnie aarons, brea bee, paul herman, matthew russell, cheryl williams, patrick mcdade, phillip chorba, mary regency boies, anthony lawton, patsy meck, jeff reim, samantha gelnaw, ted barba, madhu narula, pete postiglione, sanjay shende, mihir pathak, tiffany e. green, dicky eklund jr., lana rossi, todd anthony, traci law, maria breyman, jaclyn mchugh, erica lynne marszalek, carol anne mueller, lavonne nichols, robert bizik, jeffrey mowery, joe cappelletti, lindsay schnebly, luisa diaz, liam ferguson, shawn gonzalez, jae greene, marty krzywonos, matthew james gulbranson, andrea havens, david kneeream, raymond mamrak, montana marks, jeni miller, charles pendelton, vincent riviezzo, thomas walton, michelle santiago, ryan shank, ryan tygh, jen weissenberg, brian anthony wilson, mike wilson, mark falvo",david o. russell,63.599973
Freedom Writers,"crime, drama","black people, based novel, holocaust, ghetto, diary, principal witness , biography, daughter, high school, racial segregation, anne frank, school excursion, idealism, violence schools, racial tension, gang violence, based true events","hilary swank, scott glenn, imelda staunton, patrick dempsey, mario, april lee hernandez, robert wisdom, john benjamin hickey, pat carroll, hunter parrish, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deance wyatt, vanetta smith, gabriel chavarria, antonio garcía, giovonnie samuels, will morales, armand jones, ricardo molina, angela alvarado, tim halligan, renee firestone, eddie ilam, elisabeth mann, gloria ungar",richard lagravenese,17.746981
For Colored Girls,drama,"female nudity, poem, rape, love, domestic violence, womanhood","kimberly elise, janet jackson, loretta devine, thandie newton, anika noni rose, kerry washington, tessa thompson, phylicia rashād, whoopi goldberg, macy gray, michael ealy, omari hardwick, richard lawson, hill harper, khalil kain, john crow",tyler perry,1.934524
The Transporter,"action, crime, thriller","car journey, transportation, auto, human trafficking","jason statham, shu qi, françois berléand, matt schulze, ric young, doug rand, didier saint melin, vincent nemeth, jean-yves bilien, jean-marie paris, laurent jumeaucourt, frédéric vallet, cameron watson","louis leterrier, corey yuen kwai",34.433521
Never Back Down,"drama, action","rebel, martial arts, underground, fight, training, champion, sport, high school, party, revenge, blood, nemesis, violence, club, brawl","sean faris, amber heard, cam gigandet, djimon hounsou, evan peters, leslie hope, wyatt smith, neil brown jr., lauren leech, nadine avola",jeff wadlow,26.21425
The Rage: Carrie 2,"horror, thriller, science fiction","suicide, male nudity, female nudity, fire, nudity, asylum, telekinesis, high school, swimming pool, party, sequel, murder, prom, teacher, decapitation, blood, splatter, weightlifting, teen suicide, woman director","emily bergl, jason london, amy irving, j. smith-cameron, dylan bruno, zachery ty bryan, charlotte ayanna, rachel blanchard, justin urich, eli craig, eddie kaye thomas, mena suvari, john doe, gordon clapp, clint jordan, steven ford, kate skinner, rus blackwell, harold surratt, david lenthall, kayla campbell, robert d. raiford, deborah knox, robert c. treveiler, gina stewart, claire hurst, albert e. hayes, colin fickes, rhoda griffis, eric hill, jennifer nicole parillo, jessica cowart, tiffany leshai mcminn, steven culbertson, steven frederick cook, chris daniels, hank fields, wofford jones, tara killian, mark freiburger, katt shea, james markham hall jr.",katt shea,4.781538
Away We Go,"drama, comedy, romance","interracial relationship, dead father, reference bob dylan, biracial, bedtime story, unmarried couple, medical illustrator, disguised voice, reference huckleberry finn, student protest, sonogram, expectant grandmother, dead parents, testicles","john krasinski, maya rudolph, carmen ejogo, catherine o'hara, jeff daniels, allison janney, jim gaffigan, samantha pryor, conor carroll, maggie gyllenhaal, josh hamilton, bailey harkins, brendan spitz, jaden spitz, chris messina, paul schneider, melanie lynskey",sam mendes,10.13559
Swing Vote,"drama, comedy","usa president, presidential election, fox news","kevin costner, madeline carroll, paula patton, kelsey grammer, dennis hopper, nathan lane, stanley tucci, george lopez, judge reinhold, charles esten, richard petty, willie nelson, mare winningham, mark moses, nana visitor, floyd red crow westerman, james carville, mary hart, arianna huffington, larry king, bill maher, chris matthews, lawrence o'donnell, forrest fyre, mary sue evans, colin jones, katalina parrish, amber midthunder",joshua michael stern,5.815881
Tinker Tailor Soldier Spy,"drama, thriller, mystery","spy, cold war, spying, espionage, mole, british spy","john hurt, gary oldman, kathy burke, benedict cumberbatch, colin firth, mark strong, toby jones, stephen graham, ciarán hinds, simon mcburney, david dencik, tom hardy, svetlana khodchenkova, arthur nightingale, mucsi zoltán, amanda fairbank-hynes, laura carmichael, konstantin khabenskiy, ilona kassai, imre csuja, péter kálloy molnár, peter o'connor, roger lloyd pack, stuart graham, jamie thomas king, philip martin brown, christian mckay, rupert procter, linda marlowe, michael sarne, katrina vasilieva",tomas alfredson,33.649652
The Beaver,drama,"puppet, woman director","jodie foster, mel gibson, jennifer lawrence, anton yelchin, zachary booth, riley thomas stewart, kelly coffield park",jodie foster,13.847872
The Best Little Whorehouse in Texas,comedy,"brothel, corset, crusader, musical, governor, tv reporter, madame, busty, cat house, based stage musical, based adaptation, based article, swearing","burt reynolds, dolly parton, dom deluise, charles durning, jim nabors, robert mandan, lois nettleton, theresa merritt, barry corbin, mary jo catlett, mary louise wilson, howard k. smith, noah beery, jr., sandy johnson, terri treas, paula shaw, ted gehring, alice drummond, victoria wells, anne gaybis, raleigh bond, ken magee, gail benedict, lee lund, paula lynn, lily mariye, andrea pike, terry calloway, jennifer nairn-smith, melanie winter, brian bullard, brian bullard, brian bullard, jeff calhoun, jeff calhoun, david warren gibson, david warren gibson",colin higgins,4.189378
eXistenZ,"action, thriller, science fiction, horror","video game, hacker, bodyguard, pop star, virtual reality, dystopia, virtual fight","jennifer jason leigh, jude law, ian holm, willem dafoe, don mckellar, oscar hsu, callum keith rennie, christopher eccleston, sarah polley, robert a. silverman, kris lemche, vik sahay, kirsten johnson, james kirchner, balázs koós, stephanie belding, gerry quigley",david cronenberg,21.928025
Raiders of the Lost Ark,"adventure, action","saving world, riddle, nepal, himalaya, cairo, moses, egypt, whip, treasure, medallion, leather jacket, nazis, hat, mediterranean, ark covenant, commandments, treasure hunt, excavation, swastika, archaeologist, indiana jones, archeology","harrison ford, karen allen, paul freeman, ronald lacey, john rhys-davies, denholm elliott, wolf kahler, anthony higgins, vic tablian, don fellows, william hootkins, alfred molina, eddie tagoe, george harris, bill reimbold, fred sorenson, patrick durkin, matthew scurfield, malcolm weaver, sonny caldinez, anthony chinn, pat roach, christopher frederick, tutte lemkow, ishaq bux, kiran shah, souad messaoudi, terry richards, steve hanson, frank marshall, martin kreidt, john rees, tony vogel, ted grossman, vic armstrong, peter diamond, nick gillard, romo gorrara, rick lester, rocky taylor, reg harding, harry fielder, barrie holland, billy horrigan, terry leonard, sergio mioni, dennis muren, glenn randall jr., michael sheard, frank welker",steven spielberg,68.159596
Home Alone 2: Lost in New York,"comedy, family, adventure, crime","holiday, new york, new york city, christmas","macaulay culkin, joe pesci, catherine o'hara, daniel stern, john heard, devin ratray, hillary wolf, gerry bamman, jedidiah cohen, kieran culkin, tim curry, eddie bracken, rob schneider, michael c. maronna, ralph foody, abdoulaye n'gom, donald trump, brenda fricker",chris columbus,81.487685
